天使,1
致敬心心小凡做好防护措施致敬心大家出门记得戴口罩,1
中国赞中国赞中国赞,1
悲壮,-1
!!!一定会好起来,1
看到有人说婆婆两天发新型冠状病毒消息很慌 不要慌 发这件事信息在我看来所有恐慌都来自未知 及时有效公开最新信息公众全面及时了解事情真相进展才能做到不慌知道发生知道避免发生,0
愿平安辛苦愿平安!,1
马毛都温暖人马嘉祺公益祺迹,1
正视恐惧看到希望,1
平安平安力x抗击新型肺炎第一线 致敬伟大逆行者 一定平平安安心,1
武汉加油!中国加油!安徽加油!,1
山火暴雨肺炎流感渐暖冬夜世界毁灭 ,-1
给力睡爱很赞围观,1
偷笑萌照片收藏,1
武汉15名医务人员感染新型冠状病毒认真说之前媒体官方都说可控根本就是骗人已经请钟南山出马说明应该非常严重15名医护人员可能一夜之间冒出来说明早就医护人员感染没有通报细挑0121然之前医护人员传染何来可控有限人传人已知武汉回家批人已经有人 全文,-1
泰国治愈率高,0
请问酒精灭活75%酒精喷雾管用必须酒精浸泡30分钟才能灭活谢谢!,0
深圳2名新型肺炎患者痊愈看到好消息新闻瞬间觉得这次冠状病毒肺炎没可怕赞 ,1
黑线挖鼻福利非常喜欢疑问顶,1
想支付宝开奖钱捐给湖北心心希望支付宝开通此项功能大家献爱心每人贡献一点点全国确诊新型肺炎病例,1
辛苦,1
武汉挺抱抱,1
dogedogedoge爱爱爱,1
会好起来还想去武汉旅游!,1
祝好!保护身体健康保护情绪健康,1
全国确诊新型肺炎病例  福州,0
这次疫情哪家旅游app做良心以后专门哪家 扣除手续费真不爽! ,-1
没有心,-1
泪,-1
棒争取早点独立,1
战daytoy武汉加油 加油!都!,1
唯一新年愿望他妈的肺炎全部转移湖北不官员吃野味人上 人死绝 肺炎消失每天看新闻特别不舒服 ,-1
16号发热19号回甘肃想家乡带来传染源,-1
乖崽兔子,1
武汉加油 武汉加油一起一起打赢疫情防控战汉加油一起心,1
天看一篇财新黄冈一地病人人数报道惊人数字觉得湖北全省已经不安全转眼删除不知道数字错误另有原因数字真封锁武汉远远不够天做说,-1
!致敬疫情前线医护人员 致敬战斗第一线医护工作者大家都保护好一起打赢这场战役,1
海南封岛,0
太恶劣……人员太惨少年学院保安丞叽艹,-1
前线工作人员点赞aa一年大年三十警察医护人员外卖小哥…总有人依旧坚守岗位上 默默付出今年突发疫情更医护人员自愿一线奋战只疫情得到控制! 希望前线医护人员都好好照顾身体抗击新型肺炎第一线所有医护工作者致敬!,1
刚刚算了一下该博主数据可靠平均十万人才六个人死于流感算\身边没有不存在\逻辑去思考必须认识一万六千多人身边才能人死于流感正常人记忆力很大考验这种算法美国这次疫情严重其实不夸张,0
致敬作揖,1
钟南山院士下次买不到票疫情比较急试试车站通宵排队买车次票可能现场会富余不行问问学生看家属有没有铁路系统工作关系说不定加点钱还买卧铺,0
无,-1
河南人口郑州人流量大真的需要政府给力才能严防疫情蔓延中国赞,-1
前两天还比较乐观觉得钟院士已经武汉考察武汉封城新出病例应该已经感染确诊出来新感染可能不会增加太现在意识太天真一是潜伏期感染封城前可能很多潜伏期人带病毒出来二是大量人完全封城前离开武汉出来人潜伏期想想都可怕遇到这种灾难事件总有部分人会自私突破底线怒难道自私人真的活长怒不祝愿好人都平安,-1
加油!主流德媒不报道不奇怪 消息以下方式确认吕贝克大学官方推特确认消息中国签证处工作人员朋友圈确认教授办理签证,1
这波操作……觉得武汉市领导赞不简单武汉15名医务人员感染新型冠状病毒##新型冠状病毒肺炎纳入法定传染病 ,1
fghlia小春儿保护好 致敬英雄共同前行心站致敬疫情前线医护人员 请医护人员注意防护!保护好!才能更好前行!致敬疫情前线医护人员 请大家都保护好!致敬英雄共同前行!,1
无fuck可说怒怒怒以为信息流乱……,-1
注意,0
嘻嘻笑武汉加油 武汉加油汉加油一起心,1
好名字附议10086,0
这种反社会人格做得出恶意散播事情,-1
汉加油 一起打赢这场防御战!战斗一线医护人员致敬!,1
子 这是中国疾病预防控制中心流行病学首席科学家who传染病监测应急反应科学委员会委员中国现场流行病学培训项目执行主任专家现在疫情判断说出权威性作揖,1
感觉防控黄金时间确实已经很多人带病毒全国跑传染性非常强,-1
致敬加油,1
终于赶紧挺过去,0
江苏挺住泪泪泪,1
相信医生cdc天佑武汉,1
看到武汉封城报道 想起憨批香港亲戚中年家庭群里面传播 说武汉同学都不带口罩 大家不用担心日!!!憨批憨批脑回路不 ,-1
保佑接下来都好消息 国泰民安,1
真的怕最后回老家一听长辈亲戚今天还到处跑到处吃饭差点心梗服管不住别人想隔离起来健康回重庆天天在家吃喝稀饭吃泡菜 ,-1
绿出早点滚,-1
武汉封城 武汉此刻天气如同严峻疫情笼罩这座城市愿疫情烟霾尽快退散感冒  武汉・现代・森林小镇,1
加油都!!!战daytoy武汉加油 加油!都!,1
\武汉回来疫源地接触应该做好自行隔离隔离期间不要接触不要病毒播散家人同事朋友非常重要!\ ,0
武汉加油爱武汉封城  莱州市,1
辛苦,1
照顾好老板换口罩防控疫情一起须警惕不轻视!认真做好防护工作一起加油!,1
致敬钟南山院士,1
不知道备受煎熬希望失望之间反复挣扎日子还要持续多久努力保持乐观心态保持理智力所能及保护家人但愿年樱花盛开都好转期待盼望着谢谢你们时常感动安慰抱抱除夕快乐心,-1
广东打击哄抬口罩价格行为 广东省市场监管局21日通报保障新型冠状病毒感染引发肺炎相关防控医药产品价格稳定目前广东已全面开展巡查检查和提醒告诫要求零售药店明码标价不跟风涨价广东打击哄抬口罩防控医药用品价格行为 受新型冠状病毒感染肺炎疫情影响广东省部分市出现口罩防控医药用品热销现象21日广东省市场监管局会同相关行业协会召开提醒告诫会要求相关医药销售公司连锁企业采取措施保障供应加强价格自律稳定相关医药用品价格广东省市场监管局要求各地立即组织执法力量加大巡查力度及时处理投诉举报坚决打击捏造散布涨价信息哄抬价格推动价格过高上涨不正当价格行为,0
逃离肺炎武汉再见  武汉・武汉天河国际机场,-1
哈哈哈哈哈哈哈哈哈哈哈哈操nyun中央.. 河南马上!,-1
傻逼傻逼ronicity 千里送病毒太开心,-1
病毒远走!,-1
国家卫健委继续加强新型冠状病毒溯源变异监测工作  ,0
武汉加油,1
武汉加油 汉加油 一起打赢这场防御战!战斗一线医护人员致敬!,1
gao钟南山个人来说歌颂都不为过国家来说重大疫情需要这位老人亲上前线总是感觉越歌颂越讽刺,1
子老婆转发,0
一定注意!!!!利到家 出行一定做好防护措施 感谢所有奔赴前线医护工作者辛苦!时代最值得敬佩英雄! 祝健康平安,1
omcorn钟院士访问要点 1确认人传人基于武汉广东案例 2医务人员传染 3源头目前不清楚可能竹鼠獾这种野生动物尽量别去碰野味 4无必要近期不要去武汉 5发热及时就医 6买不到n95普通口罩起到阻止飞沫传播作用,0
吃野味以后看好妈太开心太开心太开心全国确诊新型肺炎病例  西安,1
感谢!感谢!致敬疫情前线医护人员愿医护人员做好防护!注意安全!作揖,1
害羞搜噶卡哇伊迪斯捏……挖鼻生病吭,1
说不说鸡肉猪肉鱼肉都不喜欢吃吃蝙蝠蝙蝠招惹自作孽不可活服非得违背自然规律微笑野味肺炎 ,-1
加油,1
